Algorithm,Size,Type,Time(ms)
Heap,10000,RandomFloat,57.07780015654862
3-Way Merge,10000,RandomFloat,40.63780000433326
Timsort,10000,RandomFloat,26.644099969416857
Merge,10000,SortedFloat,23.35940022021532
Quick,10000,SortedFloat,18.72180006466806
Heap,10000,SortedFloat,67.26590008474886
3-Way Merge,10000,SortedFloat,34.82479997910559
Timsort,10000,SortedFloat,1.0615000501275063
Merge,10000,ReverseFloat,24.338799994438887
Quick,10000,ReverseFloat,18.66799988783896
Heap,10000,ReverseFloat,47.48209984973073
3-Way Merge,10000,ReverseFloat,33.85230014100671
Timsort,10000,ReverseFloat,1.227700151503086
Merge,10000,RandomString,42.60329995304346
Quick,10000,RandomString,35.766900051385164
Heap,10000,RandomString,57.41979996673763
3-Way Merge,10000,RandomString,46.2326998822391
Timsort,10000,RandomString,31.093500088900328
Merge,10000,SortedString,26.49000007659197
Quick,10000,SortedString,24.87590000964701
Heap,10000,SortedString,61.54889985918999
3-Way Merge,10000,SortedString,33.26779999770224
Timsort,10000,SortedString,1.4525000005960464
Merge,10000,ReverseString,25.923500070348382
Quick,10000,ReverseString,27.626600116491318
Heap,10000,ReverseString,56.516299955546856
3-Way Merge,10000,ReverseString,35.162300104275346
Timsort,10000,ReverseString,3.6889000330120325
Merge,50000,Random,230.5613998323679
Quick,50000,Random,161.11650015227497
Heap,50000,Random,325.0833998899907
3-Way Merge,50000,Random,230.85900000296533
Counting,50000,Random,36.787400022149086
Radix,50000,Random,99.61350006051362
Timsort,50000,Random,151.57150011509657
Merge,50000,Sorted,110.54989998228848
Quick,50000,Sorted,93.82229996845126
Heap,50000,Sorted,253.68449999950826
3-Way Merge,50000,Sorted,122.38529999740422
Timsort,50000,Sorted,3.899199888110161
Merge,50000,Reverse,101.06169991195202
Quick,50000,Reverse,85.67239996045828
Heap,50000,Reverse,234.62330014444888
3-Way Merge,50000,Reverse,127.62110005132854
Timsort,50000,Reverse,5.817200057208538
Merge,50000,AlmostSorted,151.82760008610785
Quick,50000,AlmostSorted,84.86800012178719
Heap,50000,AlmostSorted,252.82340007834136
3-Way Merge,50000,AlmostSorted,159.9238000344485
Timsort,50000,AlmostSorted,114.06919988803566
Merge,50000,FewUnique,157.80010004527867
Quick,50000,FewUnique,17.929899971932173
Heap,50000,FewUnique,215.7443999312818
3-Way Merge,50000,FewUnique,171.6469000093639
Timsort,50000,FewUnique,129.0488000959158
Merge,50000,RandomFloat,169.9109000619501
Quick,50000,RandomFloat,115.05119991488755
Heap,50000,RandomFloat,245.35159999504685
3-Way Merge,50000,RandomFloat,187.166600022465
Timsort,50000,RandomFloat,131.29570009186864
Merge,50000,SortedFloat,109.69189996831119
Quick,50000,SortedFloat,97.48009988106787
Heap,50000,SortedFloat,269.01899999938905
3-Way Merge,50000,SortedFloat,132.3549000080675
Timsort,50000,SortedFloat,4.201400093734264
Merge,50000,ReverseFloat,120.12300011701882
Quick,50000,ReverseFloat,94.04570003971457
Heap,50000,ReverseFloat,241.70359992422163
3-Way Merge,50000,ReverseFloat,139.66439990326762
Timsort,50000,ReverseFloat,6.268299883231521
Merge,50000,RandomString,190.98119996488094
Quick,50000,RandomString,177.9310000129044
Heap,50000,RandomString,280.753499828279
3-Way Merge,50000,RandomString,207.22600002773106
Timsort,50000,RandomString,154.0641998872161
Merge,50000,SortedString,121.79860007017851
Quick,50000,SortedString,133.55719996616244
Heap,50000,SortedString,287.82529989257455
3-Way Merge,50000,SortedString,154.40130000934005
Timsort,50000,SortedString,6.842700066044927
Merge,50000,ReverseString,121.70560006052256
Quick,50000,ReverseString,137.88129994645715
Heap,50000,ReverseString,262.3003001790494
3-Way Merge,50000,ReverseString,146.97440015152097
Timsort,50000,ReverseString,59.56410011276603
Merge,100000,Random,387.33469997532666
Quick,100000,Random,282.24309999495745
Heap,100000,Random,656.7602001596242
3-Way Merge,100000,Random,404.4480000156909
Counting,100000,Random,59.21249999664724
Radix,100000,Random,227.91609982959926
Timsort,100000,Random,294.1129000391811
